Age,M,F
0-4,1793656,1697910
5-9,1827094,1730584
10-14,1839751,1743384
15-19,1854710,1761589
20-24,1898417,1811557
25-29,1971052,1888671
30-34,2052779,1971230
35-39,2130482,2047539
40-44,2187232,2103233
45-49,2206114,2123753
50-54,2174672,2098945
55-59,2140720,2075964
60-64,2132264,2083735
65-69,2132709,2109089
70-74,2122246,2134506
75-79,2067053,2131007
80-84,1912186,2058458
85-89,1467532,1677213
90-94,958488,1202273
95-99,448008,640825
100+,119565,212400
