Age,M,F
0-4,3041123,2892379
5-9,3038194,2890003
10-14,3221489,3065420
15-19,3545826,3375679
20-24,3853484,3673860
25-29,3482591,3295844
30-34,3081430,2953654
35-39,2721298,2623123
40-44,2704150,2688940
45-49,3283453,3340664
50-54,4076867,4171215
55-59,3937164,4035791
60-64,3048964,3074475
65-69,2329273,2348227
70-74,1901437,1958103
75-79,1233252,1332995
80-84,727562,822288
85-89,282302,352877
90-94,66608,94611
95-99,10378,14489
100+,940,1188
