Age,M,F
0-4,3913297,3724262
5-9,3566704,3361593
10-14,3185825,3032120
15-19,2829745,2700238
20-24,2801162,2755066
25-29,3382446,3404233
30-34,4211840,4254862
35-39,4120404,4152339
40-44,3270956,3220365
45-49,2608048,2556247
50-54,2321587,2296892
55-59,1826123,1850729
60-64,1559797,1572477
65-69,1128726,1135905
70-74,709933,738068
75-79,471441,435165
80-84,306847,244765
85-89,162121,115360
90-94,27495,29181
95-99,3670,4400
100+,238,280
