Age,M,F
0-4,3784955,3592094
5-9,3637731,3453832
10-14,3785460,3595898
15-19,4241710,4036529
20-24,4804120,4577342
25-29,4844800,4646174
30-34,4209008,4097590
35-39,3581313,3544871
40-44,3233050,3266388
45-49,4190877,4331904
50-54,5514366,5990111
55-59,4916642,5659099
60-64,3953488,5014621
65-69,3213402,4467316
70-74,2312232,3711939
75-79,2186428,4139506
80-84,1415433,3322091
85-89,667126,1959819
90-94,184828,694151
95-99,29881,167021
100+,7019,49001
