Age,M,F
0-4,3680697,3490555
5-9,3627446,3440675
10-14,3550754,3368913
15-19,3591909,3413134
20-24,3792327,3613613
25-29,4055812,3877914
30-34,4192737,4028585
35-39,4083569,3955759
40-44,3802019,3725682
45-49,3583051,3562154
50-54,3608625,3658413
55-59,3831844,3994029
60-64,4026971,4359749
65-69,3697004,4233363
70-74,2849787,3516661
75-79,2039019,2758923
80-84,1402192,2118543
85-89,1180063,2026322
90-94,774114,1617237
95-99,231707,615059
100+,37963,135330
