Age,M,F
0-4,7320193,7007986
5-9,7476957,7167474
10-14,7707436,7381842
15-19,7975294,7609850
20-24,7742470,7496756
25-29,7257687,7268120
30-34,6778960,6984129
35-39,6271177,6477367
40-44,5553520,5671765
45-49,4718381,4707604
50-54,4264730,4040065
55-59,3479495,3221413
60-64,2371855,2128534
65-69,1489609,1306839
70-74,1206898,1150261
75-79,855121,883532
80-84,487662,533685
85-89,217066,265965
90-94,68178,98950
95-99,14498,24318
100+,1921,3820
