Age,M,F
0-4,3597146,3428673
5-9,3754266,3578577
10-14,3906642,3714612
15-19,4005619,3775873
20-24,4027317,3849512
25-29,4093297,4024866
30-34,4217889,4179987
35-39,4376849,4334935
40-44,4570498,4510225
45-49,4740659,4646540
50-54,4951590,4839201
55-59,5196474,5088680
60-64,5401246,5309338
65-69,5501721,5442027
70-74,5322955,5338361
75-79,4844533,4985212
80-84,4088066,4380186
85-89,3011782,3456918
90-94,1648024,2134835
95-99,614060,970475
100+,149940,341418
