Age,M,F
0-4,1619568,1546656
5-9,1661465,1588743
10-14,1713385,1638372
15-19,1718250,1653925
20-24,1670328,1642424
25-29,1642239,1660719
30-34,1680898,1728543
35-39,1762671,1817958
40-44,1835413,1891328
45-49,1866800,1925784
50-54,1854838,1920605
55-59,1831972,1910560
60-64,1820118,1920324
65-69,1787173,1923276
70-74,1826697,2010620
75-79,1751950,1987856
80-84,1536429,1844148
85-89,1188859,1582685
90-94,741994,1182475
95-99,304007,646056
100+,57457,192752
