Age,M,F
0-4,1816740,1734983
5-9,1825476,1745164
10-14,1839123,1758666
15-19,1839236,1770123
20-24,1811353,1778684
25-29,1850622,1864905
30-34,1966180,2004540
35-39,1980346,2023435
40-44,1943339,1989881
45-49,1900538,1963741
50-54,1922321,2021097
55-59,1966716,2098165
60-64,1869705,2016866
65-69,1816880,1989538
70-74,1839211,2077409
75-79,1626389,1952399
80-84,1313212,1721192
85-89,882436,1320796
90-94,464094,826155
95-99,147306,325299
100+,11987,45444
