Age,M,F
0-4,1715075,1638023
5-9,1767887,1690209
10-14,1843509,1762373
15-19,1854469,1784115
20-24,1790061,1757525
25-29,1744149,1759335
30-34,1780304,1823615
35-39,1835368,1891500
40-44,1985496,2043357
45-49,2034901,2090321
50-54,1985019,2046298
55-59,1893201,1973468
60-64,1816396,1945541
65-69,1813852,2010275
70-74,1751123,2001651
75-79,1533088,1814406
80-84,1424449,1794535
85-89,1068718,1517520
90-94,590176,1011199
95-99,186286,423661
100+,26711,94588
