Age,M,F
0-4,4812098,4576171
5-9,4869953,4634527
10-14,4958800,4720255
15-19,5046010,4821309
20-24,5163280,4985576
25-29,5335488,5212531
30-34,5531452,5443162
35-39,5642175,5541758
40-44,5715314,5586554
45-49,5850046,5693303
50-54,5962965,5795011
55-59,6031389,5926925
60-64,6169353,6217989
65-69,5822581,6080523
70-74,5137018,5558843
75-79,4938987,5564057
80-84,4713728,5643721
85-89,3346471,4424068
90-94,1549958,2402880
95-99,430681,833859
100+,58418,152365
