Age,M,F
0-4,5119859,4866022
5-9,5299752,5045643
10-14,5642225,5386560
15-19,5576595,5351525
20-24,5392875,5247611
25-29,6091223,5957906
30-34,7301848,7125802
35-39,7578957,7393855
40-44,6948145,6826079
45-49,6325948,6304112
50-54,5906394,5853132
55-59,5121585,5147922
60-64,5016363,5311040
65-69,4035778,4606594
70-74,3304015,4377402
75-79,2311202,3980371
80-84,989731,2074552
85-89,647474,1763051
90-94,200079,717792
95-99,30562,145483
100+,2146,13477
