Age,M,F
0-4,4681235,4452029
5-9,4771799,4541101
10-14,4876287,4641309
15-19,4944077,4723916
20-24,4987692,4817546
25-29,5077063,4965609
30-34,5226397,5147886
35-39,5381582,5311275
40-44,5528435,5458639
45-49,5653552,5587952
50-54,5720960,5674298
55-59,5666610,5635803
60-64,5564231,5566756
65-69,5497851,5560830
70-74,5368883,5530300
75-79,5106358,5456189
80-84,4650421,5306870
85-89,3447814,4364049
90-94,1845279,2706487
95-99,690639,1233811
100+,138133,324028
