Age,M,F
0-4,10639978,10178726
5-9,10586717,10137000
10-14,10287743,9865912
15-19,10447080,10054320
20-24,11283721,10921551
25-29,11684918,11383248
30-34,11781100,11546172
35-39,12334247,12051337
40-44,12169278,11885726
45-49,11188217,11108799
50-54,10142912,10289606
55-59,9481004,9804973
60-64,9310303,9630110
65-69,9312567,9812048
70-74,8607081,9574427
75-79,6867642,8171329
80-84,4734870,6097218
85-89,2550860,3657417
90-94,1033550,1668741
95-99,306390,577615
100+,44486,124513
