Age,M,F
0-4,10678372,10213707
5-9,10661927,10205819
10-14,10440153,10007376
15-19,10411948,10023943
20-24,11069036,10715874
25-29,11805643,11500073
30-34,11797502,11559801
35-39,12090872,11865153
40-44,12434118,12142499
45-49,11573434,11408049
50-54,10483376,10579423
55-59,9564025,9855722
60-64,9168674,9581880
65-69,9076425,9519679
70-74,8692462,9545832
75-79,7222245,8497138
80-84,5058197,6445985
85-89,2891508,4081313
90-94,1119359,1820434
95-99,343348,624919
100+,47743,127986
