Age,M,F
0-4,11277393,10780674
5-9,11246401,10756359
10-14,11272182,10792298
15-19,11537105,11087135
20-24,11962293,11558289
25-29,12301828,11947476
30-34,12438165,12129672
35-39,12467197,12195142
40-44,12505073,12260704
45-49,12540192,12324867
50-54,12486816,12315810
55-59,12295240,12198585
60-64,11854806,11867134
65-69,11120462,11265829
70-74,10476825,10765775
75-79,9997987,10469847
80-84,8792909,9461846
85-89,6914165,7747839
90-94,4679609,5513610
95-99,2154563,2748656
100+,487321,761811
