Age,M,F
0-4,11509666,11003726
5-9,11499370,10997276
10-14,11469677,10978876
15-19,11639789,11185128
20-24,12023216,11616393
25-29,12432399,12068562
30-34,12729675,12401010
35-39,12852139,12552313
40-44,12811854,12538558
45-49,12661175,12418730
50-54,12510852,12310486
55-59,12368437,12233320
60-64,12152687,12115435
65-69,11791184,11883729
70-74,11212857,11462216
75-79,10244883,10672277
80-84,8918298,9545399
85-89,7366176,8205378
90-94,5125142,6058205
95-99,2451485,3151346
100+,671671,1041968
