Age,M,F
0-4,10265529,9824452
5-9,10084593,9650514
10-14,10533941,10085431
15-19,11011630,10584621
20-24,11194610,10832256
25-29,11871874,11501170
30-34,12200303,11800713
35-39,11420492,11193964
40-44,10512892,10517756
45-49,9925435,10065389
50-54,9935270,10036488
55-59,10290504,10358671
60-64,10217156,10658691
65-69,9022539,9891402
70-74,7221370,8333580
75-79,5104720,6284626
80-84,3030215,4034377
85-89,1706175,2467549
90-94,753665,1345882
95-99,245835,544001
100+,27111,91839
