Age,M,F
0-4,10127537,9691950
5-9,10165703,9723765
10-14,10744178,10283863
15-19,10884487,10459373
20-24,11248046,10877000
25-29,12107483,11673289
30-34,11875769,11498857
35-39,11043399,10903408
40-44,10220875,10263072
45-49,9924293,10065962
50-54,10168718,10147873
55-59,10592876,10703439
60-64,10132586,10666996
65-69,8646199,9531143
70-74,6862723,7944278
75-79,4547676,5660146
80-84,2878188,3758350
85-89,1595197,2396029
90-94,741364,1377564
95-99,199249,477783
100+,22885,81503
