Age,M,F
0-4,11068969,10579311
5-9,11063709,10579517
10-14,10980988,10512138
15-19,11104124,10672855
20-24,11500605,11119967
25-29,11950663,11622041
30-34,12259989,11980085
35-39,12404476,12167924
40-44,12307676,12112428
45-49,11930509,11781458
50-54,11715576,11610272
55-59,11875038,11837615
60-64,11533990,11610856
65-69,10901321,11127260
70-74,10565699,10901574
75-79,9441662,9924958
80-84,7432525,8159960
85-89,5196273,6060368
90-94,3066317,3833367
95-99,1321370,1792814
100+,308144,512232
