Age,M,F
0-4,11118149,10627981
5-9,11176481,10687755
10-14,11246843,10766669
15-19,11447770,11001367
20-24,11744710,11351016
25-29,12005950,11667468
30-34,12227761,11935384
35-39,12418330,12160269
40-44,12527358,12298327
45-49,12516634,12322520
50-54,12305560,12165029
55-59,11792243,11733170
60-64,11285342,11329041
65-69,11132896,11304159
70-74,10692129,11023092
75-79,9632147,10137668
80-84,8529612,9200592
85-89,6706417,7486780
90-94,3953431,4711755
95-99,1665929,2186457
100+,367911,593439
