Age,M,F
0-4,10634887,10173267
5-9,10447753,10001658
10-14,10147063,9721374
15-19,10527667,10120139
20-24,11419590,11047249
25-29,11582280,11281752
30-34,11877823,11621513
35-39,12446994,12116390
40-44,11813360,11565224
45-49,10811699,10807932
50-54,9902315,10078821
55-59,9517927,9817966
60-64,9533698,9783780
65-69,9489286,10074178
70-74,8435830,9499339
75-79,6520004,7840600
80-84,4409666,5747995
85-89,2209849,3253625
90-94,923240,1511063
95-99,250140,515183
100+,41360,120397
