Age,M,F
0-4,10668377,10201313
5-9,10729279,10269382
10-14,10587740,10147416
15-19,10472327,10083266
20-24,10916216,10570909
25-29,11764353,11460009
30-34,11877250,11635268
35-39,11949445,11755956
40-44,12457770,12191933
45-49,11942101,11721596
50-54,10857400,10882476
55-59,9760483,10015439
60-64,9109536,9561022
65-69,8869100,9323327
70-74,8631154,9380405
75-79,7467510,8667568
80-84,5396658,6786622
85-89,3201280,4449812
90-94,1317431,2101679
95-99,353136,651822
100+,52441,133653
