Age,M,F
0-4,10639285,10169779
5-9,10696967,10229516
10-14,10786939,10323951
15-19,11068898,10641655
20-24,11492067,11124301
25-29,11654664,11359572
30-34,11565218,11338680
35-39,11811458,11614572
40-44,12272815,12099953
45-49,12007042,11878606
50-54,11908754,11826055
55-59,12048230,11956357
60-64,11005318,11085179
65-69,9601378,10010818
70-74,8254156,8915293
75-79,7233917,8086144
80-84,6225667,7118145
85-89,4730743,5827486
90-94,2591871,3593261
95-99,844296,1354123
100+,139524,286443
