Age,M,F
0-4,10641426,10174777
5-9,10739248,10273454
10-14,10815510,10359429
15-19,11004191,10589476
20-24,11159416,10813180
25-29,11259989,10983725
30-34,11732430,11494784
35-39,12207402,12005102
40-44,11991443,11835636
45-49,12100745,11955649
50-54,12244803,12062824
55-59,11178890,11171001
60-64,9876759,10185986
65-69,8736971,9289709
70-74,8034497,8752976
75-79,7438509,8234543
80-84,6332606,7480860
85-89,4250812,5543770
90-94,2046060,3004775
95-99,663229,1116943
100+,85154,191705
