Age,M,F
0-4,10986060,10500419
5-9,10893418,10417317
10-14,10829750,10368583
15-19,11053828,10626525
20-24,11526571,11148152
25-29,11968751,11644951
30-34,12233308,11964341
35-39,12224968,12006501
40-44,11922316,11750399
45-49,11790766,11649710
50-54,12059548,11957373
55-59,11831614,11811335
60-64,11315839,11420516
65-69,11159246,11350982
70-74,10273358,10603082
75-79,8564299,9167349
80-84,6649341,7477498
85-89,4775316,5683102
90-94,2948613,3700037
95-99,1279717,1756254
100+,269603,472545
