Age,M,F
0-4,10645767,10175584
5-9,10698346,10232435
10-14,10804411,10345067
15-19,11090382,10664619
20-24,11513455,11144659
25-29,11715999,11417608
30-34,11607286,11378751
35-39,11751203,11556712
40-44,12235996,12063808
45-49,12055848,11926337
50-54,11857170,11786324
55-59,12033551,11957539
60-64,11181774,11239954
65-69,9780448,10154081
70-74,8358689,8998789
75-79,7227398,8074385
80-84,6170237,7052117
85-89,4734121,5774250
90-94,2710475,3688217
95-99,910093,1432766
100+,149696,303082
