Age,M,F
0-4,10683932,10216636
5-9,10694274,10234382
10-14,10495558,10054570
15-19,10408390,10017480
20-24,10983353,10632130
25-29,11811877,11504744
30-34,11832882,11592369
35-39,12007410,11800161
40-44,12477580,12192837
45-49,11762862,11562842
50-54,10671940,10730683
55-59,9653134,9922588
60-64,9132281,9568954
65-69,8973652,9412243
70-74,8691154,9491265
75-79,7376911,8623581
80-84,5244589,6646805
85-89,3052944,4292029
90-94,1188037,1939259
95-99,325773,606691
100+,49838,130377
