Age,M,F
0-4,10928845,10445743
5-9,10819168,10344479
10-14,10756371,10291667
15-19,11023281,10593376
20-24,11543398,11164266
25-29,11974014,11652172
30-34,12192413,11929635
35-39,12093134,11882656
40-44,11801951,11634633
45-49,11880724,11735290
50-54,12166260,12062532
55-59,11704218,11687581
60-64,11366586,11464319
65-69,11222145,11389945
70-74,9937121,10301567
75-79,8242439,8909398
80-84,6449900,7310891
85-89,4725431,5660537
90-94,2919021,3686674
95-99,1203360,1702906
100+,248365,446480
