Age,M,F
0-4,11476829,10971234
5-9,11466343,10966478
10-14,11440969,10953916
15-19,11610411,11157637
20-24,12001183,11594597
25-29,12427360,12063746
30-34,12709375,12382527
35-39,12803482,12507523
40-44,12734593,12467000
45-49,12604006,12367450
50-54,12494753,12300106
55-59,12368691,12240129
60-64,12135207,12105675
65-69,11750112,11852547
70-74,11088822,11347818
75-79,10046649,10479056
80-84,8851798,9480496
85-89,7401890,8249904
90-94,5026162,5925190
95-99,2382664,3068078
100+,654747,1010759
