Age,M,F
0-4,10725185,10252560
5-9,10696077,10228890
10-14,10777479,10318263
15-19,11091847,10665552
20-24,11548360,11175679
25-29,11872721,11565086
30-34,11849685,11609529
35-39,11698881,11509155
40-44,11957703,11787850
45-49,12253753,12114501
50-54,11866681,11789175
55-59,11756593,11741150
60-64,11634141,11662541
65-69,10347051,10600335
70-74,8831232,9405484
75-79,7383102,8177501
80-84,6123744,7050851
85-89,4681518,5597787
90-94,2825944,3718792
95-99,1086524,1629856
100+,180253,350732
