Age,M,F
0-4,11105268,10615744
5-9,11163126,10674071
10-14,11175793,10696180
15-19,11318509,10876586
20-24,11608454,11221547
25-29,11938241,11605286
30-34,12233249,11945744
35-39,12435636,12183720
40-44,12508419,12288627
45-49,12416142,12235454
50-54,12036500,11911957
55-59,11549565,11502469
60-64,11424582,11474119
65-69,11274728,11463748
70-74,10419808,10767899
75-79,9646942,10156787
80-84,8534716,9176988
85-89,6156451,6944454
90-94,3540373,4316271
95-99,1472529,1966632
100+,340762,553731
