Age,M,F
0-4,10667499,10200700
5-9,10745794,10284996
10-14,10657086,10216011
15-19,10553713,10163599
20-24,10871350,10531313
25-29,11676546,11376195
30-34,11944702,11700750
35-39,11920530,11732600
40-44,12373159,12133647
45-49,12119618,11884606
50-54,11046889,11031307
55-59,9897123,10135034
60-64,9112432,9562312
65-69,8781773,9270719
70-74,8547066,9248196
75-79,7547560,8695329
80-84,5556278,6938779
85-89,3329520,4588337
90-94,1422279,2229058
95-99,393136,716935
100+,55492,137652
