Age,M,F
0-4,10394420,9945855
5-9,10103487,9672526
10-14,10285877,9843776
15-19,11001063,10569911
20-24,11222061,10855001
25-29,11652928,11333959
30-34,12343116,11956253
35-39,11796316,11498680
40-44,10871932,10817106
45-49,10054287,10162552
50-54,9800448,9991025
55-59,9994384,10065932
60-64,10168642,10514879
65-69,9325736,10145189
70-74,7594651,8720659
75-79,5635546,6884341
80-84,3324930,4461544
85-89,1815294,2622146
90-94,754913,1335639
95-99,223856,505932
100+,31324,101488
