Age,M,F
0-4,11328267,10830198
5-9,11282026,10789564
10-14,11273855,10791526
15-19,11526952,11076802
20-24,11985587,11580934
25-29,12353626,11996821
30-34,12515722,12203127
35-39,12522875,12246196
40-44,12517384,12268793
45-49,12534036,12313768
50-54,12496340,12318808
55-59,12324430,12218656
60-64,11963873,11966105
65-69,11303509,11439998
70-74,10504963,10788800
75-79,9902202,10357321
80-84,8967313,9636343
85-89,6998157,7835919
90-94,4647408,5506876
95-99,2250442,2865452
100+,522376,810584
