Age,M,F
0-4,10629703,10168761
5-9,10526917,10079666
10-14,10211483,9789769
15-19,10480212,10081047
20-24,11371871,11004360
25-29,11620223,11319788
30-34,11813480,11572199
35-39,12422665,12112111
40-44,11991975,11723049
45-49,10997693,10959651
50-54,10006859,10170300
55-59,9485358,9806883
60-64,9412723,9688758
65-69,9415280,9956246
70-74,8529691,9549146
75-79,6688279,7999844
80-84,4579805,5930093
85-89,2375543,3448097
90-94,991418,1603581
95-99,272034,537931
100+,42985,122701
