Age,M,F
0-4,10957023,10472254
5-9,10858438,10383605
10-14,10796858,10334721
15-19,11040719,10612465
20-24,11533857,11155086
25-29,11969613,11646584
30-34,12216660,11950505
35-39,12163031,11948484
40-44,11849892,11681208
45-49,11825620,11682772
50-54,12132452,12030011
55-59,11756512,11738725
60-64,11327537,11432022
65-69,11216613,11393869
70-74,10101212,10445372
75-79,8395267,9031777
80-84,6533741,7375786
85-89,4745047,5665388
90-94,2960902,3717754
95-99,1236373,1724555
100+,259223,460108
