Age,M,F
0-4,11343970,10844381
5-9,11300310,10806272
10-14,11259118,10773078
15-19,11498730,11046416
20-24,11983454,11577673
25-29,12373388,12015021
30-34,12549440,12234820
35-39,12551860,12272445
40-44,12525371,12273683
45-49,12527634,12303488
50-54,12493313,12310313
55-59,12331829,12218816
60-64,12003120,11997577
65-69,11384021,11513728
70-74,10547218,10825294
75-79,9882471,10327104
80-84,9031217,9694491
85-89,7109056,7952356
90-94,4730442,5620720
95-99,2213991,2846471
100+,540137,835685
