Age,M,F
0-4,10899054,10418186
5-9,10789379,10317034
10-14,10770449,10309875
15-19,11055719,10628491
20-24,11551369,11174179
25-29,11965568,11646210
30-34,12153894,11894321
35-39,12014679,11808993
40-44,11776907,11611799
45-49,11954750,11811087
50-54,12157299,12059786
55-59,11663272,11655639
60-64,11426804,11518314
65-69,11163427,11331266
70-74,9746407,10140814
75-79,8052603,8747579
80-84,6327694,7202599
85-89,4672567,5597232
90-94,2892892,3651116
95-99,1249337,1761837
100+,237341,432244
