Age,M,F
0-4,10783519,10306640
5-9,10723544,10255338
10-14,10769189,10309528
15-19,11074623,10647046
20-24,11546973,11171136
25-29,11932099,11618241
30-34,11997208,11748135
35-39,11770689,11577682
40-44,11824322,11656552
45-49,12224613,12081648
50-54,11954940,11868768
55-59,11644305,11646484
60-64,11679477,11720082
65-69,10708681,10907161
70-74,9187382,9695668
75-79,7591574,8345410
80-84,6160970,7082607
85-89,4683080,5579481
90-94,2933052,3783353
95-99,1115782,1649459
100+,202424,383439
