Age,M,F
0-4,11139079,10648015
5-9,11169038,10679815
10-14,11217459,10732123
15-19,11444712,10994071
20-24,11810528,11412948
25-29,12069516,11727491
30-34,12245575,11951257
35-39,12406152,12145264
40-44,12520744,12286725
45-49,12527582,12325012
50-54,12388285,12235377
55-59,11958673,11885505
60-64,11327908,11363676
65-69,11004005,11162923
70-74,10781762,11101314
75-79,9753016,10243969
80-84,8534688,9211552
85-89,6929859,7732534
90-94,4216359,5011899
95-99,1680357,2214318
100+,386632,619681
