Age,M,F
0-4,10632401,10164260
5-9,10735813,10268243
10-14,10795702,10334468
15-19,11013633,10593034
20-24,11235119,10882514
25-29,11289676,11011849
30-34,11657239,11421603
35-39,12212414,12008152
40-44,12025645,11865177
45-49,12022965,11891715
50-54,12294677,12114762
55-59,11369736,11325523
60-64,10062661,10335894
65-69,8831643,9362637
70-74,8026301,8758631
75-79,7394857,8175321
80-84,6379446,7483802
85-89,4379937,5671004
90-94,2137622,3129982
95-99,647271,1103734
100+,91892,204402
