Age,M,F
0-4,11104832,10614608
5-9,11179562,10690971
10-14,11238064,10758279
15-19,11421057,10975413
20-24,11704027,11311806
25-29,11980127,11643010
30-34,12225029,11933737
35-39,12423664,12167057
40-44,12523987,12297136
45-49,12503339,12312576
50-54,12250302,12113984
55-59,11703849,11649214
60-64,11292188,11336497
65-69,11210361,11386736
70-74,10606399,10940818
75-79,9604132,10114548
80-84,8572214,9233678
85-89,6587918,7363353
90-94,3880191,4644094
95-99,1594866,2108867
100+,359938,582215
