Age,M,F
0-4,9973749,9537772
5-9,10522737,10060686
10-14,10782022,10319646
15-19,10843702,10420038
20-24,11554938,11110383
25-29,11999139,11531386
30-34,11321255,11040856
35-39,10498035,10455379
40-44,9993630,10080483
45-49,10116572,10136007
50-54,10641302,10566977
55-59,10770370,11001751
60-64,9741945,10369292
65-69,8074169,8962899
70-74,6032241,7061149
75-79,3963764,4910309
80-84,2620261,3444310
85-89,1498591,2370107
90-94,695621,1341427
95-99,186426,462031
100+,16714,66192
