Age,M,F
0-4,10753510,10278378
5-9,10704484,10235542
10-14,10748537,10285441
15-19,11061006,10631556
20-24,11549389,11173608
25-29,11913564,11601867
30-34,11931316,11686586
35-39,11725225,11534072
40-44,11881809,11711705
45-49,12260189,12116356
50-54,11905691,11820214
55-59,11690664,11683046
60-64,11688654,11716959
65-69,10535657,10756512
70-74,9018016,9560709
75-79,7496046,8270510
80-84,6162214,7095451
85-89,4700443,5611803
90-94,2872460,3761002
95-99,1056161,1590773
100+,191028,366700
