Age,M,F
0-4,11035921,10548984
5-9,10961332,10480982
10-14,10865447,10399769
15-19,11049309,10620587
20-24,11517214,11138214
25-29,11971982,11646263
30-34,12250495,11977129
35-39,12321368,12095178
40-44,12095621,11913566
45-49,11782772,11641133
50-54,11871918,11766146
55-59,11963210,11933255
60-64,11357957,11449923
65-69,10992183,11211385
70-74,10554927,10871432
75-79,8935994,9473178
80-84,6962380,7762903
85-89,4892162,5782021
90-94,2941904,3713171
95-99,1302220,1762499
100+,287972,492902
