Age,M,F
0-4,10617711,10149965
5-9,10735124,10269477
10-14,10821234,10363421
15-19,11059246,10639319
20-24,11299824,10945136
25-29,11327373,11048850
30-34,11592836,11360230
35-39,12173307,11970020
40-44,12074061,11912442
45-49,11969060,11850603
50-54,12276188,12114403
55-59,11546027,11481909
60-64,10245944,10484211
65-69,8940586,9451727
70-74,8016036,8749448
75-79,7319899,8097825
80-84,6348020,7392621
85-89,4474987,5720947
90-94,2278463,3274676
95-99,705789,1180124
100+,99950,219049
