Age,M,F
0-4,11433985,10931454
5-9,11394284,10897011
10-14,11359522,10873945
15-19,11555118,11104224
20-24,11995504,11590365
25-29,12421463,12059988
30-34,12659929,12338089
35-39,12706327,12417454
40-44,12626980,12367135
45-49,12549283,12319153
50-54,12490780,12301745
55-59,12365636,12244153
60-64,12099901,12080737
65-69,11642133,11757276
70-74,10864610,11132779
75-79,9873363,10310350
80-84,8896178,9536678
85-89,7368531,8222933
90-94,4806018,5692008
95-99,2323934,2981719
100+,612179,942856
