Age,M,F
0-4,11252463,10756514
5-9,11228513,10738907
10-14,11252506,10770871
15-19,11520043,11068979
20-24,11947743,11544051
25-29,12274786,11921744
30-34,12400521,12094389
35-39,12444283,12174173
40-44,12501820,12258681
45-49,12541500,12327275
50-54,12479102,12309294
55-59,12271207,12176589
60-64,11787569,11802586
65-69,11043096,11190895
70-74,10494077,10784469
75-79,10045722,10522033
80-84,8722550,9389714
85-89,6904579,7738319
90-94,4720680,5560746
95-99,2048266,2631205
100+,470380,738300
