Age,M,F
0-4,11097089,10607259
5-9,11100471,10613800
10-14,11038651,10564761
15-19,11144614,10710440
20-24,11512024,11130617
25-29,11940658,11611108
30-34,12260574,11978428
35-39,12421437,12179499
40-44,12404524,12200959
45-49,12104435,11944882
50-54,11710851,11603944
55-59,11695827,11652590
60-64,11668662,11736106
65-69,10952070,11164849
70-74,10425842,10783536
75-79,9726610,10200185
80-84,7785319,8463756
85-89,5448263,6303185
90-94,3131851,3897314
95-99,1353548,1834817
100+,317552,520363
