Age,M,F
0-4,11094900,10604184
5-9,11140907,10653506
10-14,11105256,10628700
15-19,11203819,10766162
20-24,11530886,11147218
25-29,11930037,11598882
30-34,12251615,11966976
35-39,12430451,12184036
40-44,12469340,12258816
45-49,12253387,12085112
50-54,11787676,11676472
55-59,11580346,11534221
60-64,11655389,11715143
65-69,11054810,11256252
70-74,10358983,10722368
75-79,9796255,10277528
80-84,8108714,8757408
85-89,5743335,6572560
90-94,3332154,4106616
95-99,1350516,1836295
100+,326387,530954
