Age,M,F
0-4,10546280,10089937
5-9,10188474,9758865
10-14,10196729,9770732
15-19,10883144,10464784
20-24,11316184,10949637
25-29,11539525,11244079
30-34,12215065,11877922
35-39,12144053,11810758
40-44,11243416,11112389
45-49,10288289,10367794
50-54,9744282,9967437
55-59,9731238,9893625
60-64,9943126,10226788
65-69,9472098,10208233
70-74,7945567,9063593
75-79,5992744,7277610
80-84,3734387,4941539
85-89,1942249,2814545
90-94,850204,1406966
95-99,254276,536250
100+,35569,110317
