Age,M,F
0-4,10660076,10197461
5-9,10629487,10176727
10-14,10368101,9942200
15-19,10424818,10036003
20-24,11173600,10816547
25-29,11756912,11453286
30-34,11778265,11543231
35-39,12209153,11956809
40-44,12326055,12034780
45-49,11380684,11256842
50-54,10304625,10429673
55-59,9506630,9818104
60-64,9228506,9599399
65-69,9193449,9658142
70-74,8663391,9573657
75-79,7049744,8342780
80-84,4889683,6264156
85-89,2721758,3866926
90-94,1074286,1738276
95-99,334496,612056
100+,46007,126139
