Age,M,F
0-4,11102044,10612217
5-9,11164945,10675275
10-14,11168397,10684943
15-19,11323119,10877689
20-24,11633500,11244254
25-29,11950882,11616570
30-34,12229105,11940957
35-39,12430526,12176993
40-44,12510901,12287687
45-49,12450611,12264401
50-54,12114029,11982054
55-59,11578274,11525743
60-64,11361880,11405531
65-69,11291121,11473704
70-74,10474373,10814595
75-79,9635704,10145926
80-84,8632433,9277520
85-89,6344492,7132447
90-94,3681442,4478982
95-99,1445595,1943491
100+,346192,562094
