Age,M,F
0-4,11304140,10806846
5-9,11263861,10772771
10-14,11279225,10799106
15-19,11539887,11090332
20-24,11976071,11571839
25-29,12328785,11973245
30-34,12477752,12167111
35-39,12494009,12219759
40-44,12510327,12264146
45-49,12537887,12320533
50-54,12493369,12319812
55-59,12312347,12212002
60-64,11913936,11922046
65-69,11212184,11353769
70-74,10480860,10768001
75-79,9944004,10408477
80-84,8882751,9553159
85-89,6938964,7774487
90-94,4639365,5478751
95-99,2230181,2834215
100+,504698,785902
