Age,M,F
0-4,10303340,9847875
5-9,10718268,10247402
10-14,10608942,10148526
15-19,11051093,10573073
20-24,11769374,11231773
25-29,11283586,10907820
30-34,10549568,10438380
35-39,10004314,10038441
40-44,10087662,10117250
45-49,10663042,10501573
50-54,11127911,11162315
55-59,10456311,10855257
60-64,8919364,9593466
65-69,7096912,7963340
70-74,4882271,5783721
75-79,3551864,4313596
80-84,2360452,3327455
85-89,1443793,2423541
90-94,560060,1185524
95-99,133325,380401
100+,10409,50832
