Age,M,F
0-4,10572495,10106691
5-9,10624912,10158036
10-14,10625713,10165327
15-19,11315778,10772492
20-24,11484078,10961964
25-29,10875158,10595212
30-34,10190782,10136836
35-39,9924669,9990846
40-44,10276264,10184589
45-49,11008285,10861579
50-54,11117272,11250660
55-59,10054653,10504785
60-64,8503634,9191553
65-69,6354889,7219986
70-74,4577221,5331008
75-79,3327208,4137368
80-84,2338791,3388489
85-89,1372454,2359624
90-94,523688,1148349
95-99,113081,341456
100+,8770,47240
