Age,M,F
0-4,10673297,10206660
5-9,10749270,10287185
10-14,10703902,10260169
15-19,10638252,10244577
20-24,10851337,10515282
25-29,11567055,11271093
30-34,12016215,11770481
35-39,11918769,11730274
40-44,12251050,12040752
45-49,12276628,12033718
50-54,11238568,11179044
55-59,10057926,10274541
60-64,9142653,9578317
65-69,8713251,9245799
70-74,8450156,9109981
75-79,7613872,8705602
80-84,5720578,7096486
85-89,3444272,4715075
90-94,1519968,2352500
95-99,429173,774901
100+,58918,142450
