Age,M,F
0-4,10487325,10033308
5-9,10134615,9706038
10-14,10234707,9801903
15-19,10966066,10541101
20-24,11255548,10889401
25-29,11578318,11275372
30-34,12309977,11943643
35-39,11969962,11650921
40-44,11054911,10965015
45-49,10154631,10250077
50-54,9756592,9973509
55-59,9851525,9960126
60-64,10070690,10384397
65-69,9409033,10191116
70-74,7764270,8886716
75-79,5824373,7091617
80-84,3513144,4683450
85-89,1885098,2716323
90-94,811490,1382880
95-99,235696,517619
100+,33446,106026
