Age,M,F
0-4,11150920,10658853
5-9,11180366,10692297
10-14,11247721,10765559
15-19,11483779,11033997
20-24,11840504,11441763
25-29,12098697,11754725
30-34,12260350,11964014
35-39,12405749,12143655
40-44,12519535,12284730
45-49,12535108,12331840
50-54,12419100,12265524
55-59,12031315,11957294
60-64,11380724,11416219
65-69,10963269,11121392
70-74,10756702,11074389
75-79,9796468,10287112
80-84,8502336,9179826
85-89,6923608,7727720
90-94,4350548,5134843
95-99,1759330,2299344
100+,398204,636274
