Age,M,F
0-4,11458705,10953685
5-9,11443497,10944511
10-14,11403931,10916165
15-19,11576020,11123124
20-24,11993505,11587131
25-29,12426506,12063263
30-34,12694596,12369323
35-39,12772140,12478313
40-44,12693409,12428155
45-49,12578472,12343596
50-54,12489366,12295578
55-59,12366861,12239289
60-64,12122304,12094743
65-69,11720471,11826164
70-74,11019827,11281052
75-79,9971934,10403937
80-84,8864148,9492261
85-89,7431165,8282498
90-94,5007335,5911444
95-99,2320200,3000794
100+,642176,989986
