Age,M,F
0-4,11097866,10607688
5-9,11177362,10688632
10-14,11211642,10730595
15-19,11377487,10932109
20-24,11666335,11275586
25-29,11961542,11625744
30-34,12225627,11935758
35-39,12427853,12172764
40-44,12518189,12293310
45-49,12481781,12293717
50-54,12186149,12052684
55-59,11629464,11577070
60-64,11318065,11362127
65-69,11267899,11448112
70-74,10527104,10864572
75-79,9603574,10115850
80-84,8613247,9264621
85-89,6461061,7237827
90-94,3811536,4591943
95-99,1508394,2014018
100+,352741,571856
