Age,M,F
0-4,10631125,10163623
5-9,10703647,10237728
10-14,10814828,10356141
15-19,11091435,10668441
20-24,11459053,11096128
25-29,11571051,11281562
30-34,11536729,11311230
35-39,11887805,11689923
40-44,12268120,12098517
45-49,11971330,11849120
50-54,11980719,11887517
55-59,11995850,11903848
60-64,10816519,10931261
65-69,9416376,9859714
70-74,8151972,8834700
75-79,7219634,8063658
80-84,6233030,7140448
85-89,4674590,5797802
90-94,2505258,3492539
95-99,864646,1376186
100+,129312,269564
