Age,M,F
0-4,11171002,10678524
5-9,11186383,10698474
10-14,11262758,10782637
15-19,11512694,11063487
20-24,11869764,11470192
25-29,12134274,11788651
30-34,12281266,11983110
35-39,12407392,12144086
40-44,12517101,12281116
45-49,12542052,12337303
50-54,12441318,12285816
55-59,12096657,12020386
60-64,11456851,11490301
65-69,10941876,11099397
70-74,10704458,11017945
75-79,9872843,10363161
80-84,8503946,9181501
85-89,6898161,7710690
90-94,4415268,5194982
95-99,1859739,2403644
100+,410867,654454
